customer_id,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital.gains,capital.loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
10019,69,19,OH,500/1000,3,527,2,FEMALE,MD,craft-repair,yachting,other-relative,131,78,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,12,1,YES,2,0,NO,572,1,117,544,Accura,TL,21,N
10021,326,44,IN,250/500,1,227,6,MALE,JD,other-service,bungie-jumping,own-child,1,354,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,14,3,NO,2,0,YES,163,1,349,302,Suburu,Impreza,17,N
10022,128,23,IL,500/1000,2,897,2,FEMALE,Associate,machine-op-inspct,skydiving,own-child,140,354,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8,3,NO,2,2,NO,80,3,314,130,Accura,RSX,2,N
10023,262,37,IL,100/300,2,953,2,MALE,High School,prof-specialty,paintball,other-relative,303,289,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,14,3,NO,1,0,YES,553,1,407,434,Suburu,Forrestor,6,Y
10024,294,37,IN,100/300,2,361,2,MALE,MD,priv-house-serv,chess,own-child,1,42,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,8,1,YES,3,2,NO,758,3,200,717,Dodge,RAM,17,Y
10027,168,25,IN,100/300,2,443,2,MALE,High School,prof-specialty,golf,own-child,1,35,Parked Car,Rear Collision,Minor Damage,Police,PA,Arlington,19,1,YES,2,3,YES,733,4,563,692,Toyota,Camry,11,N
10028,113,16,IN,100/300,3,887,5,MALE,JD,exec-managerial,chess,not-in-family,46,37,Vehicle Theft,Side Collision,Minor Damage,None,VA,Northbrook,20,1,YES,3,1,YES,321,2,347,294,Suburu,Forrestor,9,Y
10030,152,27,IL,500/1000,2,114,2,FEMALE,PhD,machine-op-inspct,basketball,unmarried,1,354,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,20,1,NO,3,2,NO,745,3,141,680,Accura,TL,17,N
10031,356,7,IL,250/500,1,939,2,MALE,Masters,prof-specialty,video-games,husband,187,354,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,16,4,NO,1,0,NO,602,1,97,493,Toyota,Corolla,11,N
10033,63,17,IL,500/1000,1,95,2,FEMALE,Associate,adm-clerical,yachting,other-relative,321,354,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,9,3,YES,3,3,NO,36,4,256,28,BMW,3 Series,14,N
10034,19,12,IL,100/300,1,733,2,MALE,High School,farming-fishing,video-games,wife,171,263,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,2,3,NO,2,2,NO,624,3,137,464,Suburu,Impreza,21,N
10035,56,19,IL,500/1000,3,590,2,MALE,PhD,prof-specialty,yachting,own-child,1,354,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,10,1,YES,1,1,YES,453,2,359,459,Audi,A3,5,N
10036,54,15,OH,100/300,1,461,8,MALE,High School,craft-repair,reading,not-in-family,188,161,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,8,1,YES,3,0,YES,250,1,353,205,Mercedes,C300,1,Y
10037,354,10,IL,100/300,1,977,2,FEMALE,Masters,protective-serv,camping,unmarried,1,354,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,18,1,YES,2,1,YES,372,2,413,447,Suburu,Forrestor,10,Y
10038,200,31,IL,500/1000,2,285,2,FEMALE,JD,priv-house-serv,golf,unmarried,1,354,Parked Car,Side Collision,Minor Damage,None,WV,Arlington,9,1,NO,2,1,YES,253,2,563,125,Suburu,Legacy,7,N
10041,369,8,IL,100/300,3,634,2,MALE,Associate,tech-support,kayaking,not-in-family,1,209,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,12,1,NO,3,2,YES,94,3,275,67,BMW,M5,16,N
10042,21,16,IN,250/500,3,815,2,MALE,Associate,transport-moving,chess,unmarried,1,21,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,2,1,YES,2,1,YES,757,2,197,686,BMW,X5,7,Y
10043,261,5,IL,500/1000,3,667,2,FEMALE,College,prof-specialty,hiking,husband,1,285,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,10,3,YES,2,0,NO,225,1,388,267,Dodge,RAM,16,N
10044,10,12,OH,250/500,3,841,2,FEMALE,PhD,transport-moving,reading,own-child,160,240,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,17,1,NO,3,2,NO,214,3,381,257,Mercedes,E400,11,N
10045,179,26,IL,100/300,2,83,2,MALE,JD,priv-house-serv,reading,unmarried,71,32,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,7,1,YES,1,2,YES,310,3,49,140,Toyota,Highlander,20,N
10047,72,15,IN,100/300,3,316,2,FEMALE,Associate,other-service,polo,husband,66,354,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,4,3,YES,2,1,NO,624,2,137,676,Honda,Civic,20,N
10048,252,29,OH,500/1000,2,369,6,MALE,College,other-service,kayaking,husband,1,354,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,12,3,NO,3,1,NO,416,2,433,490,Audi,A3,9,Y
10049,84,16,IN,500/1000,1,139,10,FEMALE,PhD,protective-serv,dancing,other-relative,1,354,Vehicle Theft,Front Collision,Trivial Damage,Police,NY,Arlington,20,1,NO,3,0,YES,570,1,559,601,Volkswagen,Passat,1,N
10053,128,21,IN,100/300,1,710,2,MALE,College,armed-forces,basketball,not-in-family,1,354,Vehicle Theft,Side Collision,Minor Damage,None,WV,Northbend,23,1,NO,3,1,YES,122,2,290,153,Toyota,Corolla,6,N
10054,134,22,IN,100/300,3,252,2,FEMALE,JD,priv-house-serv,movies,husband,333,143,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,22,3,YES,2,0,NO,535,1,104,374,Suburu,Forrestor,5,N
10056,131,8,OH,100/300,1,376,2,MALE,PhD,craft-repair,skydiving,not-in-family,298,354,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,18,1,YES,2,2,NO,647,3,551,582,Chevrolet,Silverado,1,N
10057,313,38,IN,250/500,3,87,2,FEMALE,PhD,prof-specialty,chess,unmarried,70,203,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,5,3,YES,3,3,YES,311,4,432,489,Honda,CRV,20,N
10058,386,14,IN,500/1000,1,589,2,FEMALE,Masters,adm-clerical,hiking,own-child,1,354,Parked Car,Side Collision,Minor Damage,None,VA,Riverwood,12,1,NO,2,3,NO,21,4,248,9,Chevrolet,Silverado,20,N
10059,14,21,IL,250/500,2,659,2,MALE,PhD,other-service,yachting,husband,209,139,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,16,1,YES,1,1,NO,471,2,515,506,Saab,93,13,N
10062,156,26,IL,500/1000,1,204,2,MALE,JD,handlers-cleaners,basketball,husband,286,354,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,17,3,NO,1,3,NO,135,4,264,132,Honda,Accord,3,N
10063,24,14,IL,500/1000,1,984,2,MALE,High School,armed-forces,bungie-jumping,unmarried,1,164,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,5,1,NO,1,3,YES,306,4,48,250,BMW,M5,17,N
10065,207,24,OH,250/500,2,785,7,MALE,PhD,sales,chess,not-in-family,248,354,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,9,3,NO,1,0,NO,353,1,455,393,Ford,Escape,12,Y
10066,165,21,IN,100/300,3,510,2,FEMALE,MD,exec-managerial,chess,other-relative,68,354,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,21,3,YES,3,2,NO,683,3,483,664,Dodge,Neon,1,Y
10068,338,46,OH,250/500,3,880,2,FEMALE,Associate,adm-clerical,reading,unmarried,231,354,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,10,3,NO,2,1,NO,53,2,266,89,BMW,X6,4,N
10069,34,12,OH,100/300,1,65,2,MALE,MD,machine-op-inspct,movies,own-child,116,278,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,23,1,NO,1,3,NO,507,4,428,483,Audi,A5,3,N
10070,241,31,IN,500/1000,1,381,2,MALE,MD,other-service,kayaking,own-child,1,178,Parked Car,Side Collision,Minor Damage,None,NC,Riverwood,6,1,NO,1,1,YES,122,2,577,46,Ford,F150,10,N
10071,182,24,OH,100/300,3,115,2,FEMALE,Associate,prof-specialty,sleeping,own-child,207,168,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,5,2,YES,3,3,NO,504,4,427,480,Audi,A3,9,Y
10072,133,23,OH,100/300,2,57,2,FEMALE,MD,armed-forces,cross-fit,not-in-family,81,169,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,22,1,NO,1,2,NO,392,3,479,433,Honda,Civic,1,Y
10073,108,23,OH,250/500,1,905,2,FEMALE,Associate,sales,paintball,husband,1,354,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,3,1,NO,2,2,NO,37,3,1,60,Chevrolet,Malibu,5,N
10076,26,17,OH,100/300,1,602,2,FEMALE,High School,transport-moving,bungie-jumping,other-relative,315,354,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,16,3,NO,3,0,NO,215,1,382,144,Ford,Fusion,16,N
10077,181,27,OH,500/1000,1,34,2,FEMALE,College,handlers-cleaners,golf,husband,1,12,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,11,3,NO,2,1,YES,726,2,524,697,Suburu,Legacy,4,N
10078,227,29,IN,250/500,3,420,2,MALE,College,transport-moving,dancing,not-in-family,1,354,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,16,3,NO,1,2,YES,364,3,34,221,Audi,A3,11,N
10079,103,21,OH,500/1000,1,680,8,FEMALE,JD,other-service,kayaking,wife,1,133,Vehicle Theft,Rear Collision,Minor Damage,None,SC,Springfield,8,1,YES,3,2,YES,666,3,89,591,Saab,95,10,N
10080,137,20,OH,500/1000,3,962,2,FEMALE,PhD,handlers-cleaners,polo,unmarried,1,354,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,9,1,NO,2,2,YES,563,3,509,495,BMW,M5,19,Y
10082,155,22,OH,500/1000,2,359,7,FEMALE,Masters,exec-managerial,video-games,wife,1,354,Vehicle Theft,Front Collision,Trivial Damage,None,NC,Northbrook,3,1,YES,3,1,YES,473,2,114,397,Accura,TL,11,N
10083,368,11,IL,250/500,1,302,8,MALE,Masters,other-service,bungie-jumping,other-relative,1,354,Vehicle Theft,Rear Collision,Minor Damage,Police,NY,Northbrook,18,1,YES,3,2,NO,597,3,170,534,Nissan,Maxima,8,N
10084,111,17,IN,250/500,2,437,2,MALE,High School,exec-managerial,video-games,wife,215,334,Vehicle Theft,Side Collision,Trivial Damage,None,VA,Hillsdale,6,1,NO,1,3,YES,455,4,69,289,Volkswagen,Jetta,8,N
10088,41,14,IL,500/1000,3,770,2,FEMALE,MD,other-service,yachting,own-child,71,354,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,13,1,NO,3,1,YES,443,2,64,284,BMW,3 Series,21,N
10089,220,18,IL,500/1000,2,438,11,FEMALE,College,prof-specialty,kayaking,not-in-family,1,330,Parked Car,Side Collision,Trivial Damage,None,WV,Arlington,24,1,NO,1,1,YES,161,2,310,128,Dodge,Neon,8,N
10091,33,11,OH,250/500,2,448,7,FEMALE,High School,sales,board-games,own-child,1,354,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,5,2,YES,2,1,NO,484,2,14,403,Saab,93,1,N
10092,353,5,IL,250/500,2,161,6,FEMALE,Associate,tech-support,exercise,own-child,1,254,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,7,1,NO,1,3,YES,760,4,217,712,Honda,Accord,10,Y
10093,118,24,IL,250/500,2,444,2,MALE,PhD,farming-fishing,yachting,own-child,202,354,Parked Car,Front Collision,Trivial Damage,None,WV,Springfield,24,1,NO,1,1,NO,348,2,400,420,BMW,X5,13,N
10094,130,25,IN,100/300,1,673,2,FEMALE,MD,exec-managerial,exercise,not-in-family,335,15,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,18,3,NO,2,1,NO,538,2,68,543,Ford,Fusion,15,N
10097,233,29,IN,500/1000,1,798,2,FEMALE,Associate,protective-serv,hiking,not-in-family,243,354,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,4,1,YES,1,3,NO,572,4,461,640,Dodge,RAM,12,Y
10098,201,7,IL,250/500,2,492,2,MALE,Masters,farming-fishing,skydiving,own-child,1,304,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,19,4,YES,2,2,YES,454,3,508,494,Nissan,Pathfinder,19,Y
10100,149,24,IL,100/300,1,951,2,MALE,College,exec-managerial,reading,not-in-family,1,354,Vehicle Theft,Front Collision,Trivial Damage,None,NC,Northbrook,3,1,NO,1,0,YES,302,1,494,304,Audi,A3,13,N
10101,179,23,IN,100/300,3,651,2,FEMALE,College,protective-serv,yachting,not-in-family,1,308,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,17,1,YES,1,0,YES,651,1,191,430,Saab,92x,13,N
10103,190,23,IL,250/500,3,685,2,FEMALE,JD,prof-specialty,bungie-jumping,husband,77,44,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,9,3,YES,3,3,NO,33,4,263,42,Ford,Fusion,19,N
10104,74,15,OH,100/300,1,604,2,FEMALE,Associate,tech-support,kayaking,other-relative,66,225,Parked Car,Front Collision,Minor Damage,Police,WV,Northbend,18,1,NO,2,1,NO,35,2,255,26,Toyota,Highlander,14,N
10105,249,36,OH,500/1000,3,683,2,MALE,College,other-service,basketball,wife,165,354,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,8,3,NO,1,0,YES,747,1,543,710,Chevrolet,Malibu,20,N
10106,207,31,IL,100/300,3,172,2,MALE,College,prof-specialty,kayaking,husband,58,22,Vehicle Theft,Front Collision,Minor Damage,None,WV,Columbus,19,1,YES,2,3,YES,123,4,320,136,Mercedes,E400,8,N
10107,329,43,OH,500/1000,1,147,2,FEMALE,Associate,prof-specialty,basketball,husband,1,214,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,Northbend,21,3,YES,1,2,YES,659,3,228,547,Saab,95,6,Y
10108,23,10,IN,500/1000,2,260,2,FEMALE,High School,handlers-cleaners,camping,own-child,1,219,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Columbus,16,2,NO,2,0,YES,587,1,167,521,Volkswagen,Passat,3,N
10111,173,24,OH,250/500,3,464,2,FEMALE,College,prof-specialty,video-games,unmarried,1,354,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Riverwood,11,1,YES,2,2,YES,592,3,169,530,Dodge,RAM,16,N
10112,322,42,IN,100/300,3,406,8,MALE,PhD,craft-repair,dancing,unmarried,181,85,Single Vehicle Collision,Front Collision,Major Damage,Fire,NC,Springfield,1,1,YES,1,0,NO,529,1,495,462,Ford,F150,21,Y
10113,121,23,IL,500/1000,3,286,2,MALE,High School,exec-managerial,polo,other-relative,1,102,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,Columbus,5,3,NO,3,0,NO,671,1,165,517,BMW,X5,7,N
10114,77,14,IN,100/300,1,62,2,MALE,MD,protective-serv,camping,own-child,1,98,Multi-vehicle Collision,Side Collision,Major Damage,Other,VA,Hillsdale,6,2,YES,2,1,NO,332,2,615,138,Saab,93,13,N
10115,276,33,OH,250/500,2,141,2,MALE,Associate,armed-forces,reading,other-relative,1,354,Vehicle Theft,Side Collision,Minor Damage,None,VA,Northbrook,24,1,YES,2,1,YES,540,2,69,420,Ford,F150,7,N
10117,11,13,IL,500/1000,2,527,2,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative,246,258,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Hillsdale,9,1,NO,1,3,NO,216,4,605,122,Suburu,Legacy,8,N
10118,136,23,OH,500/1000,2,113,2,MALE,High School,exec-managerial,exercise,unmarried,101,66,Multi-vehicle Collision,Side Collision,Major Damage,Police,NY,Northbend,14,3,NO,3,2,NO,533,3,103,508,Toyota,Highlander,17,Y
10119,73,20,IL,250/500,2,363,2,FEMALE,PhD,transport-moving,yachting,not-in-family,123,354,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Hillsdale,19,1,NO,2,3,YES,732,4,595,675,Ford,Fusion,21,N
10123,114,20,IL,250/500,3,558,2,FEMALE,Masters,other-service,skydiving,not-in-family,1,354,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,VA,Columbus,22,1,NO,1,1,YES,292,2,423,471,Nissan,Maxima,5,Y
10124,131,7,OH,250/500,2,53,2,FEMALE,College,prof-specialty,movies,other-relative,169,354,Multi-vehicle Collision,Front Collision,Total Loss,Other,NC,Arlington,1,4,YES,2,0,NO,625,1,209,511,Accura,MDX,1,N
10126,117,21,IN,250/500,1,412,8,MALE,JD,craft-repair,dancing,unmarried,142,294,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Hillsdale,5,3,NO,3,3,YES,67,4,624,27,Ford,Escape,19,N
10127,75,20,IL,100/300,2,756,2,MALE,MD,protective-serv,video-games,unmarried,231,46,Single Vehicle Collision,Side Collision,Total Loss,Other,WV,Columbus,23,1,NO,1,0,YES,97,1,390,74,Suburu,Impreza,7,N
10128,74,14,IN,500/1000,3,569,2,FEMALE,High School,tech-support,exercise,own-child,292,354,Parked Car,Rear Collision,Minor Damage,Police,PA,Northbrook,24,1,NO,3,0,YES,90,1,457,82,BMW,M5,4,N
10129,185,25,OH,100/300,2,491,2,MALE,College,farming-fishing,basketball,wife,99,148,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbend,16,1,YES,1,3,YES,435,4,26,316,BMW,X5,12,Y
10132,103,21,IN,250/500,3,877,2,MALE,Masters,adm-clerical,paintball,own-child,1,354,Multi-vehicle Collision,Front Collision,Major Damage,Other,WV,Columbus,18,3,YES,3,2,NO,398,3,85,328,Dodge,RAM,18,N
10133,17,9,OH,100/300,3,946,2,FEMALE,Masters,tech-support,exercise,unmarried,234,201,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Arlington,15,3,NO,1,1,NO,210,2,573,142,Nissan,Pathfinder,19,N
10135,385,14,OH,250/500,2,778,2,MALE,PhD,exec-managerial,basketball,unmarried,262,273,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbend,9,1,NO,2,1,YES,638,2,581,525,BMW,3 Series,12,N
10136,80,16,IN,250/500,2,379,2,FEMALE,College,exec-managerial,yachting,other-relative,331,354,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,7,1,NO,2,2,YES,516,3,489,454,Volkswagen,Passat,2,Y
10138,26,10,IL,250/500,1,387,2,FEMALE,PhD,tech-support,golf,not-in-family,285,354,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,24,3,NO,1,3,YES,466,4,453,532,BMW,X5,16,N
10139,233,28,IL,500/1000,3,488,2,FEMALE,High School,prof-specialty,basketball,wife,137,325,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,Springfield,15,3,NO,2,2,YES,609,3,489,584,Toyota,Camry,5,N
10140,30,14,IL,250/500,1,246,2,FEMALE,MD,other-service,hiking,not-in-family,1,119,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Springfield,12,3,NO,1,2,YES,578,3,84,463,BMW,X5,1,N
10141,122,17,OH,100/300,2,283,2,MALE,Masters,machine-op-inspct,camping,other-relative,311,354,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbend,13,1,YES,1,1,YES,235,2,314,217,Mercedes,E400,14,N
10142,198,23,IL,500/1000,2,950,2,MALE,Masters,transport-moving,video-games,wife,1,160,Vehicle Theft,Front Collision,Trivial Damage,None,SC,Northbrook,24,1,YES,3,3,YES,226,4,608,212,Suburu,Forrestor,7,N
10143,28,16,IN,250/500,1,279,2,MALE,PhD,machine-op-inspct,video-games,own-child,225,32,Parked Car,Side Collision,Minor Damage,None,SC,Northbend,20,1,NO,3,1,YES,679,2,96,492,Chevrolet,Silverado,19,N
10146,280,40,OH,100/300,3,982,2,FEMALE,Associate,exec-managerial,cross-fit,wife,1,224,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Northbrook,11,1,YES,3,1,NO,762,2,177,722,Accura,TL,8,Y
10147,125,23,IL,500/1000,3,567,6,MALE,Masters,tech-support,polo,not-in-family,1,220,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NC,Northbend,6,3,NO,3,0,NO,439,1,443,373,BMW,X6,2,Y
10148,120,20,OH,100/300,3,498,2,FEMALE,MD,other-service,golf,other-relative,221,354,Single Vehicle Collision,Front Collision,Minor Damage,Fire,WV,Northbrook,15,1,NO,2,1,NO,165,2,314,217,Nissan,Pathfinder,20,N
10149,373,9,IL,100/300,1,540,2,MALE,PhD,adm-clerical,reading,not-in-family,7,80,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,7,1,NO,3,3,YES,556,4,593,556,Volkswagen,Jetta,13,Y
10150,102,23,OH,250/500,3,886,2,FEMALE,JD,craft-repair,skydiving,not-in-family,1,354,Single Vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,2,1,YES,2,0,YES,14,1,212,724,Suburu,Impreza,17,Y
10152,199,27,IL,100/300,1,43,2,MALE,Masters,priv-house-serv,polo,husband,1,354,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Hillsdale,19,3,YES,3,1,YES,176,2,354,109,Mercedes,C300,15,N
10153,8,14,IN,250/500,3,195,2,MALE,High School,exec-managerial,kayaking,own-child,49,131,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,Riverwood,17,3,YES,2,3,YES,430,4,620,353,Volkswagen,Jetta,12,Y
10154,307,36,OH,100/300,1,525,2,FEMALE,Masters,craft-repair,paintball,own-child,11,354,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,WV,Columbus,6,3,NO,3,3,YES,425,4,23,308,Suburu,Forrestor,3,N
10158,303,41,IN,250/500,3,480,9,FEMALE,JD,prof-specialty,hiking,other-relative,1,354,Parked Car,Front Collision,Minor Damage,None,WV,Northbend,23,1,NO,3,3,NO,458,4,449,384,Saab,92x,19,N
10159,320,20,IN,100/300,1,245,2,MALE,Masters,machine-op-inspct,movies,not-in-family,38,354,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Springfield,10,3,YES,3,0,YES,640,1,110,526,Suburu,Legacy,19,N
10161,127,18,IN,500/1000,1,185,2,FEMALE,Associate,priv-house-serv,reading,unmarried,94,339,Parked Car,Rear Collision,Minor Damage,Police,VA,Springfield,1,1,YES,3,3,YES,400,4,206,246,Mercedes,E400,20,N
10162,189,30,IN,500/1000,2,175,9,FEMALE,MD,farming-fishing,dancing,not-in-family,1,195,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Northbrook,5,1,NO,3,0,NO,608,1,65,536,Chevrolet,Silverado,3,N
10163,207,30,OH,500/1000,1,458,2,FEMALE,MD,exec-managerial,polo,unmarried,160,232,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Hillsdale,14,2,NO,3,1,YES,705,2,116,639,Volkswagen,Passat,8,N
10164,17,12,OH,500/1000,1,201,2,FEMALE,Masters,prof-specialty,sleeping,not-in-family,146,233,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Arlington,18,1,YES,3,0,NO,11,1,235,719,Dodge,Neon,3,Y
10167,46,10,OH,250/500,2,753,2,FEMALE,Associate,craft-repair,board-games,unmarried,1,26,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WV,Riverwood,11,1,YES,3,1,YES,549,2,106,381,Audi,A5,18,Y
